FECHA;HORA;G2_VT_1RLA;G2_VT_1RLO;G2_VT_2RLA;G2_VT_2RLO;G2_VT_ALO;G2_JT_GEN_P;G2_ZT_INY1;G2_ZT_INY2;G2_ZT_INY3;G2_ZT_INY4;G2_ZT_INY5;G2_ZT_INY6
19-07-2019;10:51:43;1.08248;0.475624;0.965896;0.247501;0.450446;13520;43.6515;43.2959;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:51:44;1.10491;0.471504;1.05226;0.235904;0.428321;13520;43.6118;43.2959;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:51:45;1.2253;0.471504;1.17266;0.232395;0.442969;13530;43.6515;43.2959;41.2421;43.2685;43.3448;43.6088
19-07-2019;10:51:46;1.50347;0.479133;1.2517;0.277714;0.499275;13530;43.6118;43.2959;41.2421;43.2685;43.3448;43.6088
19-07-2019;10:51:47;1.39071;0.460212;1.26299;0.247501;0.525521;13540;43.6515;43.2959;41.2802;43.3036;43.3799;43.6469
19-07-2019;10:51:48;1.49599;0.467994;1.2665;0.232395;0.514687;13530;43.6515;43.2959;41.2802;43.3448;43.3036;43.6088
19-07-2019;10:51:49;1.31563;0.464179;1.1313;0.209506;0.491798;13530;43.6515;43.331;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:51:50;1.2253;0.471504;1.20638;0.247501;0.450446;13530;43.5737;43.2959;41.2802;43.2685;43.3036;43.7217
19-07-2019;10:51:51;1.33806;0.464179;1.18746;0.213474;0.435645;13550;43.6118;43.2959;41.2421;43.3036;43.3448;43.6469
19-07-2019;10:51:52;1.43252;0.464179;1.23659;0.247501;0.476692;13550;43.6118;43.2959;41.2802;43.2685;43.3448;43.6088
19-07-2019;10:51:53;1.16152;0.471504;1.02586;0.216983;0.424048;13550;43.6866;43.2959;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:51:54;1.46624;0.48661;1.33074;0.26215;0.480964;13540;43.6118;43.2959;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:51:55;1.51888;0.460212;1.28542;0.205997;0.458076;13540;43.6118;43.331;41.3153;43.2685;43.3036;43.6469
19-07-2019;10:51:56;1.62768;0.464179;1.32296;0.251316;0.458076;13520;43.6515;43.2959;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:51:57;1.42092;0.449378;1.27031;0.243229;0.495766;13530;43.5737;43.331;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:51:58;1.35348;0.475624;1.17266;0.221103;0.462043;13540;43.6118;43.331;41.2421;43.3036;43.3036;43.6866
19-07-2019;10:51:59;1.24041;0.467994;1.09758;0.224918;0.446479;13540;43.6515;43.2959;41.2421;43.2685;43.3448;43.7217
19-07-2019;10:52:00;1.33455;0.464179;1.19905;0.224918;0.462043;13520;43.6118;43.331;41.2802;43.2685;43.3036;43.6469
19-07-2019;10:52:01;1.31563;0.460212;1.2517;0.235904;0.469368;13520;43.6118;43.331;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:52:02;1.13863;0.456703;1.11574;0.247501;0.442969;13520;43.6515;43.331;41.2802;43.2685;43.3036;43.6088
19-07-2019;10:52:03;1.22179;0.467994;1.02586;0.22858;0.450446;13540;43.6118;43.331;41.2421;43.2685;43.3448;43.6866
19-07-2019;10:52:04;1.43603;0.456703;1.20638;0.216983;0.518196;13540;43.6515;43.331;41.2421;43.3036;43.3448;43.6088
